obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1768,94,2,R,Powys,Wales,Powys,01/12/2015,Significant,River
1768,102,2,R,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,01/12/2015,Significant,River
1768,101,2,R,The Vale of Glamorgan,Wales,Vale of Glamorgan,01/12/2015,Significant,River
1768,109,3,S,Cardiff,Wales,Cardiff,01/12/2015,Minor,Surface water
1781,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,02/12/2015,Minor,River
1781,33,3,R,Shropshire,Midlands - Solihull,Shropshire,02/12/2015,Minor,River
1781,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,02/12/2015,Minor,River
1775,60,3,R,Herefordshire,Midlands - Solihull,Herefordshire,02/12/2015,Minor,River
1775,33,3,R,Shropshire,Midlands - Solihull,Shropshire,02/12/2015,Minor,River
1776,13,3,R,Cumbria,Northwest - Warrington,Cumbria,02/12/2015,Minor,River
1776,13,3,S,Cumbria,Northwest - Warrington,Cumbria,02/12/2015,Minor,Surface water
1782,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,03/12/2015,Minor,River
1782,33,3,R,Shropshire,Midlands - Solihull,Shropshire,03/12/2015,Minor,River
1782,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,03/12/2015,Minor,River
1794,103,3,R,Merthyr Tydfil,Wales,Merthyr Tydfil,03/12/2015,Minor,River
1794,102,3,R,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,03/12/2015,Minor,River
1794,100,3,S,Bridgend,Wales,Bridgend,03/12/2015,Minor,Surface water
1777,11,3,R,Cheshire,Northwest - Warrington,Cheshire,03/12/2015,Minor,River
1777,89,3,R,Gwynedd,Wales,Gwynedd,03/12/2015,Minor,River
1777,94,3,S,Powys,Wales,Powys,03/12/2015,Minor,Surface water
1779,13,3,R,Cumbria,Northwest - Warrington,Cumbria,03/12/2015,Minor,River
1779,13,2,S,Cumbria,Northwest - Warrington,Cumbria,03/12/2015,Significant,Surface water
1780,95,,,Ceredigion,Wales,Ceredigion,03/12/2015,,
1778,11,3,R,Cheshire,Northwest - Warrington,Cheshire,04/12/2015,Minor,River
1778,103,3,R,Merthyr Tydfil,Wales,Merthyr Tydfil,04/12/2015,Minor,River
1778,102,3,R,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,04/12/2015,Minor,River
1783,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,04/12/2015,Minor,River
1783,33,3,R,Shropshire,Midlands - Solihull,Shropshire,04/12/2015,Minor,River
1783,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,04/12/2015,Minor,River
1778,13,2,S,Cumbria,Northwest - Warrington,Cumbria,04/12/2015,Significant,Surface water
1784,89,3,R,Gwynedd,Wales,Gwynedd,05/12/2015,Minor,River
1784,13,1,R,Cumbria,Northwest - Warrington,Cumbria,05/12/2015,Severe,River
1784,89,3,S,Gwynedd,Wales,Gwynedd,05/12/2015,Minor,Surface water
1784,13,1,S,Cumbria,Northwest - Warrington,Cumbria,05/12/2015,Severe,Surface water
1785,17,2,R,Durham,Northeast - Leeds,Durham,05/12/2015,Significant,River
1785,17,2,S,Durham,Northeast - Leeds,Durham,05/12/2015,Significant,Surface water
1808,90,2,R,Conwy,Wales,Conwy,05/12/2015,Significant,River
1808,90,1,S,Conwy,Wales,Conwy,05/12/2015,Severe,Surface water
1809,90,2,R,Conwy,Wales,Conwy,05/12/2015,Significant,River
1809,90,1,S,Conwy,Wales,Conwy,05/12/2015,Severe,Surface water
1787,30,2,R,North Yorkshire,Northeast - Leeds,N Yorkshire,05/12/2015,Significant,River
1787,5,2,R,West Yorkshire,Northeast - Leeds,W Yorkshire,05/12/2015,Significant,River
1787,55,2,R,York,Northeast - Leeds,York,05/12/2015,Significant,River
1787,30,2,S,North Yorkshire,Northeast - Leeds,N Yorkshire,05/12/2015,Significant,Surface water
1787,5,2,S,West Yorkshire,Northeast - Leeds,W Yorkshire,05/12/2015,Significant,Surface water
1787,55,2,S,York,Northeast - Leeds,York,05/12/2015,Significant,Surface water
1810,90,2,R,Conwy,Wales,Conwy,05/12/2015,Significant,River
1810,90,1,S,Conwy,Wales,Conwy,05/12/2015,Severe,Surface water
1811,90,3,R,Conwy,Wales,Conwy,05/12/2015,Minor,River
1811,88,3,R,Isle of Anglesey,Wales,Isle of Anglesey,05/12/2015,Minor,River
